file,line,column,type,code,message,docs,severity,link
.editorconfig,0,0,ERROR,hidden_files,"Hidden files are not permitted.",,8,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Core\Container.php",1,1,WARNING,Internal.LineEndings.Mixed,"File has mixed line endings; this may cause incorrect results",,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Core\Container.php",35,798,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$id'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Core\Container.php",48,102,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$id'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ApprovalRepository.php",125,37,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ApprovalRepository.php",137,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ApprovalRepository.php",155,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ApprovalRepository.php",190,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ApprovalRepository.php",440,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",156,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",160,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",164,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",182,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",201,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",205,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",211,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",224,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",245,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",249,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",292,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",296,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",303,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",326,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",330,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",334,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",354,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",373,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",377,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",383,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",396,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",417,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",421,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",434,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$this'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",460,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina\src\Infrastructure\Persistence\ChecklistRepository.php",464,41,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
